Date,Meta Ads,,,Google Ads,,,Shopify,,,,,,,,,Sales Data,,Shopify
Note,Direct,Direct,Direct,Direct,Direct,Direct,Direct,Direct,Direct,Direct,Direct,Derived,Derived,Derived,Derived,Direct,Direct,Direct
Note,Spend,CTR,CPM,Spend,CTR,CPM,"Total 
Users","Total 
ATC","Total 
Reached Checkout ",Total Abandoned Checkout,Session Duration,Users with Session above 1 min,Users with Above 5 page views and above 1 min,ATC with session duration above 1 min,Reached Checkout with session duration above 1 min,General Queries,Open Queries ,Online Orders
"Wed, Sep 10, 25","39,829",1.49%,59.16,"16,080",0.80%,244.71,"7,922",35,13,1,0:00:42,835,525,23,8,9,2,0
"Thu, Sep 11, 25","39,914",1.62%,64.44,"14,647",0.86%,223.60,"8,278",37,11,1,0:00:36,860,510,26,5,5,3,1
