Date Range,Campaign name,Ad Set Name,Ad,Ad Set Delivery,Spent,Cost per user,Users,ATC,Reached Checkout,Conversions,Average session duration,Cost per 1 min user,1min user/ total users (%),Users with Session above 1 min,ATC with session duration above 1 min,Reached Checkout with session duration above 1 min,Users with Above 5 page views and above 1 min,Remarks,Status
10-23 Sep,TOF | 80k,LUXE | IGi,,active,6981.15,7.80,895,1,0,0.00,24.24,120.36,6.48%,58,1,0,34,,
10-23 Sep,TOF | 80k,T1 - LUXEi,,active,14106.96,11.48,"1,229",2,0,0.00,28.20,143.95,7.97%,98,1,0,53,,
10-23 Sep,TOF | ALL,IND - TRLi,,active,27259.98,3.63,"7,500",13,6,0.00,21.14,53.45,6.80%,510,3,2,227,,
