Campaign performance
"September 29, 2025 - September 29, 2025"
Campaign,Campaign state,Campaign type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
BOF-YT-ALL PRODUCTS,Enabled,Demand Gen,60,"3,467",1.73%,INR,7.71,462.69,0,0,0.00,22,0,0.00%
Brand-Search,Enabled,Search,93,492,18.90%,INR,84.34,7843.83,92.25%,92.99%,0.00,0,0,0.00%
Moi Ahmedabad - Local Store Visits,Enabled,Performance Max,9,142,6.34%,INR,58.80,529.22,0,0,7.00,0,75.60,77.78%
Moi Chennai - Local Store Visits,Enabled,Performance Max,29,397,7.30%,INR,17.25,500.15,0,0,6.00,0,83.36,20.69%
T1 Pmax Bracelets,Enabled,Performance Max,19,"2,433",0.78%,INR,27.78,527.90,0,0,0.00,0,0,0.00%
T1 Pmax Earrings,Enabled,Performance Max,198,"25,792",0.77%,INR,20.08,3976.18,0,0,0.00,0,0,0.00%
T1 Pmax Rings,Enabled,Performance Max,252,"33,875",0.74%,INR,12.73,3208.38,0,0,0.00,0,0,0.00%
