Daily Dashboard
"October 2, 2025 - October 2, 2025"
Day,Campaign,Currency code,Cost,Avg. CPM,CTR
2025-10-02,BOF-YT-ALL PRODUCTS,INR,323.24,146.86,1.54%
2025-10-02,Brand-Search,INR,2491.84,10254.48,20.58%
2025-10-02,Moi Ahmedabad - Local Store Visits,INR,207.92,1563.34,10.53%
2025-10-02,Moi Chennai - Local Store Visits,INR,388.04,1571.02,11.74%
2025-10-02,T1 Pmax Bracelets,INR,310.77,175.18,0.45%
2025-10-02,T1 Pmax Earrings,INR,2485.72,195.45,1.01%
2025-10-02,T1 Pmax Rings,INR,2074.96,157.71,0.69%
