Day,"Campaign name","Ad set name","Ad name","Amount spent (INR)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Ad set delivery","Reporting starts","Reporting ends"
2025-10-27,MOF,"MOF | DABA | ENGDi","MOF | DABA 1",912.35,117.90514345,3.99327992,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_180 Days - FBi",DPA,1079.04,123.8994144,3.27247675,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_180 Days - IGi",DPA,481.79,69.81451963,1.50702797,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_14 Days - IGi",DPA,766.82,213.53940407,4.59482038,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | HYDi","Juliet Ring | SV",68.32,230.03367003,0.33670034,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_1 Day - IGi",DPA,563.53,774.07967033,8.51648352,active,2025-10-27,2025-10-27
2025-10-27,"TOF | All That Grace","ARL | IGi","Mix Match Pearls I SI",129.96,307.96208531,1.42180095,active,2025-10-27,2025-10-27
2025-10-27,"TOF | 80k","LUXE | IGi","80k CC",511.47,161.1436673,1.26023945,active,2025-10-27,2025-10-27
2025-10-27,"TOF | All That Grace","ARL | IGi","Debbie Earrings | SV",423.25,313.05473373,2.14497041,active,2025-10-27,2025-10-27
2025-10-27,"TOF | All That Grace","ARL | IGi","Jackie Necklace | SV",219.06,296.82926829,1.76151762,active,2025-10-27,2025-10-27
2025-10-27,"TOF | All That Grace","ARL | IGi","All that grace (1) | CI",162.12,209.72833118,5.30401035,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | BLRi","Juliet Ring | SV",107.61,194.24187726,1.26353791,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | MUMi","Juliet Ring | SV",135.85,220.53571429,2.27272727,active,2025-10-27,2025-10-27
2025-10-27,"TOF | CUSTOM | AUTO","T2 - INT JWLi","CC – BS /TP | 01",1106.28,32.66253322,0.65839976,active,2025-10-27,2025-10-27
2025-10-27,"TOF | India Modern","TOF | Mumbai | TIFFi","DABA – BS /TP 1",615.31,40.83825579,1.27430809,active,2025-10-27,2025-10-27
2025-10-27,"TOF | CUSTOM | AUTO","T1 - INT JWLi","CC – BS /TP | 01",1619.5,47.05796891,0.79325875,active,2025-10-27,2025-10-27
2025-10-27,"TOF | AND","TOF | Bangalore | TRLa","DABA – ALL",1040.53,16.75517697,0.60223503,active,2025-10-27,2025-10-27
2025-10-27,"TOF | AND","TOF | Mumbai | TRLa","DABA – ALL",1256.18,16.29815115,1.1469348,active,2025-10-27,2025-10-27
2025-10-27,"TOF | India Modern","TOF | Delhi | TIFFi","DABA – BS /TP 1",585.69,59.55160142,1.38281647,active,2025-10-27,2025-10-27
2025-10-27,"TOF | India Modern","TOF | Delhi | TIFFi","DABA – BS /TP 2",168.76,88.96151819,2.16130733,active,2025-10-27,2025-10-27
2025-10-27,"TOF | India Modern","TOF | Bangalore | TIFFi","DABA – BS /TP 2",500.94,75.26141827,1.53245192,active,2025-10-27,2025-10-27
2025-10-27,"TOF | India Modern","TOF | Mumbai | TIFFi","DABA – BS /TP 2",139.79,60.35837651,1.55440415,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | DELi","Juliet Ring | SV",59.02,148.66498741,1.25944584,active,2025-10-27,2025-10-27
2025-10-27,"TOF | Story/Reel","TRL | IGi | ST","Sapphires I SI",568.72,215.34267323,1.81749337,active,2025-10-27,2025-10-27
2025-10-27,"TOF | Story/Reel","TRL | IGi | ST","Raphsody I SI",635.47,183.07980409,1.81503889,active,2025-10-27,2025-10-27
2025-10-27,"TOF | Story/Reel","TRL | IGi | ST","Ella Rings I SI",274.11,174.25937699,1.58931977,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | BLRi","RV | CC",399.89,528.25627477,1.32100396,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | MUMi","RV | CC",368.82,496.39300135,0.94212651,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | DELi","RV | CC",386.63,797.17525773,3.91752577,active,2025-10-27,2025-10-27
2025-10-27,MOF,"MOF | HYDi","RV | CC",235.85,620.65789474,1.05263158,active,2025-10-27,2025-10-27
2025-10-27,"BOF | DPA","VC & ATC_60 Days - FB",DPA,493.52,85.07498707,3.6028271,active,2025-10-27,2025-10-27
