"Day","UTM campaign","UTM term","UTM content","Landing page URL","Online store visitors","Sessions that completed checkout","Sessions that reached checkout","Sessions with cart additions","Average session duration","Pageviews"
"2025-10-28","TOF | New Arrivals","T1 - INT JWLi - FEED DABA","Green Room I FEED DABA COL","https://vibewithmoi.in/products/rosa-chandelier-earrings-with-emerald-and-diamond-dagger-pendants?variant=41996533170239&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+New+Arrivals&utm_content=Green+Room+I+FEED+DABA+COL&utm_term=T1+-+INT+JWLi+-+FEED+DABA&placement=Instagram_Feed&utm_id=120233627322500313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasouKjQzrkBp1iL4XMRx16MQcO-_47YNAyJ_XgkMsVmUgoTqyfAseqT_moFV6LWj1ow5eYW_aem_3tpky9ZJvCLRFATsZJMZmA&campaign_id=120233509173440313&ad_id=120234581994090313",1,0,0,0,0,1
"2025-10-28","TOF | Story/Reel","T1 | TRL | IGi | RL","Ira Earrings | RL","https://vibewithmoi.in/products/ira-diamond-and-pearl-earrings?utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+Story%2FReel&utm_content=Ira+Earrings+%7C+RL&utm_term=T1+%7C+TRL+%7C+IGi+%7C+RL&placement=Instagram_Reels&utm_id=120231907497290313_v2_s17_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmSKOiZvkBp66hLDpXsYbv9fZqcdMwp3WtS4XzYEHFsDGgT4cztfD0Y1JFIs0Z5OAQEA_-_aem_QASyuANM2KyTQowcRl-bpg&campaign_id=120213378493220313&ad_id=120231908221010313",1,0,0,0,0,1
"2025-10-28","TOF | Story/Reel","TRL | IGi | ST","Raphsody I SI","https://vibewithmoi.in/pages/rhapsody?utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+Story%2FReel&utm_content=Raphsody+I+SI&utm_term=TRL+%7C+IGi+%7C+ST&placement=Instagram_Stories&utm_id=120226547772560313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAashaJztackBp38qNFrZtWGQzLWjmG2x7wTWhqDQcX9pULsjYk86m3j8SVeK7_C_QD-OW8jV_aem_Z4PcSW2wyGE38-FYMaWuOg&campaign_id=120213378493220313&ad_id=120226547772580313",1,0,0,0,52,3
"2025-10-28","TOF | New Arrivals","T1 - INT JWLi - FEED DABA","Green Room I FEED DABA COL","https://vibewithmoi.in/products/sylvia-torque-necklace-with-green-gemstones-yellow-sapphires-and-hessonite-finials?variant=41985604288575&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+New+Arrivals&utm_content=Green+Room+I+FEED+DABA+COL&utm_term=T1+-+INT+JWLi+-+FEED+DABA&placement=Instagram_Feed&utm_id=120233627322500313_v2_s17_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasouKjQzrkBpx3t6GKZGcu1XY6jFBOPcnK2K6oi4ZP58kFvc7EQpGVga5U6YqP9qPhpVmix_aem_o-60d1rrMrTCoidE_ylrkw&campaign_id=120233509173440313&ad_id=120234581994090313",1,0,0,0,0,1
"2025-10-28","TOF | India Modern","TOF | Bangalore | TIFFi","DABA – BS /TP 2","https://vibewithmoi.in/products/rory-gilmore-diamond-dangling-earrings?variant=32852591181887&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+India+Modern&utm_content=DABA+%E2%80%93+BS+%2FTP+2&utm_term=TOF+%7C+Bangalore+%7C+TIFFi&placement=Instagram_Reels&utm_id=120228725520420313_v2_s17_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasoDkwGijkBp8_x6kRjQtHXg-uWG9Ih30SS1tqRo-SQDj_So154wCe_dh_uxSmQdotQ_Y2M_aem_vWu0FdaPtZTisoRMgcnksw&campaign_id=120228725469310313&ad_id=120228726653480313",1,0,0,0,9,2
"2025-10-28","TOF | ALL","IND - TRLi","DABA – ALL","https://vibewithmoi.in/products/adem-gold-diamond-purple-amethyst-pearl-and-green-enamel-pendant-necklace?variant=41284324458559&utm_source=facebook&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=IND+-+TRLi&placement=Instagram_Feed&utm_id=120231849970730313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmPdRyvnkBp4Gm6FBtJ8nn3n3mSGWQ85-YIvQttGiAgs4ovPJkkrB7qGSCnoVglRRNR8pp_aem__zfEB_XQwksRfQD-08Gyhw&campaign_id=120204934414040313&ad_id=120231849970700313",1,0,0,0,0,1
"2025-10-28","TOF | Chennai Store","INT JWLi - IG","Tree of Life Pendant | SV","https://vibewithmoi.in/?utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+Chennai+Store&utm_content=Tree+of+Life+Pendant+%7C+SV&utm_term=INT+JWLi+-+IG&placement=Instagram_Feed&utm_id=120228277184330313_v2_s17_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmWxlz-PkBp2xvPhjla9kUvKbEbRPKOVRwIElQ6YZqP8evogF2tUGwKyecuqsqnj2QCL3G_aem_mbhuDRX59VD2EN_CKy8F9g&campaign_id=120228277184340313&ad_id=120231987580660313",1,0,0,0,0,1
"2025-10-28","TOF | AND","TOF | Mumbai | TRLa","DABA – ALL","https://vibewithmoi.in/products/faith-gold-diamond-emerald-and-tanzanite-ring?variant=41284367450175&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+AND&utm_content=DABA+%E2%80%93+ALL&utm_term=TOF+%7C+Mumbai+%7C+TRLa&placement=Instagram_Feed&utm_id=120230916336960313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspdsa9sUkBpycy3KqlqLZ0ei1TqPOsp9W74dkwo4qZrwUx0H0UcpI_iQq3SxvgZu-wmm1q_aem_Nf5CCG9RjMVqyDVUs1HxJg&campaign_id=120230914825700313&ad_id=120230916336950313",1,0,0,0,0,1
"2025-10-28","Living in Moi | Hyderabad","TRLi – RL SV","Green Room I RL SV 04","https://vibewithmoi.in/pages/the-green-room?utm_source=ig&utm_medium=paid&utm_campaign=Living+in+Moi+%7C+Hyderabad&utm_content=Green+Room+I+RL+SV+04&utm_term=TRLi+%E2%80%93+RL+SV&placement=Instagram_Reels&utm_id=120235231632640313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAaspTmey-JkBp56dL_fla-zppwannFnS4Svq-8JpkkhZSVtvmxF9DKfCrr0Z0bl2kEMp_ZnR_aem_CA6CXp5vMi866pibgfLEvA&campaign_id=120234872112340313&ad_id=120235231710410313",1,0,0,0,21,3
"2025-10-28","TOF | India Modern","TOF | Mumbai | TIFFi","DABA – BS /TP 1","https://vibewithmoi.in/products/karlie-gold-diamond-and-pearl-cocktail-earrings?variant=41535258591295&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+India+Modern&utm_content=DABA+%E2%80%93+BS+%2FTP+1&utm_term=TOF+%7C+Mumbai+%7C+TIFFi&placement=Instagram_Feed&utm_id=120228725520430313_v2_s18_e314&fbclid=PAZXh0bgNhZW0BMABhZGlkAasoDkw-FPkBp739g4cxmb8O17njuPzrqIoD-UiA4Ib8prCju1V_Hk4snrfNsXwuYyn-Ka_H_aem_FZ7_Z3Z5_xOAi6EhX7GyBQ&campaign_id=120228725469310313&ad_id=120228726653470313",1,0,0,0,0,1
