Daily Dashboard
"September 29, 2025 - September 29, 2025"
Day,Campaign,Currency code,Cost,Avg. CPM,CTR
2025-09-29,Brand-Search,INR,7843.83,15942.75,18.90%
2025-09-29,Moi Ahmedabad - Local Store Visits,INR,529.22,3726.93,6.34%
2025-09-29,Moi Chennai - Local Store Visits,INR,500.15,1259.83,7.30%
2025-09-29,T1 Pmax Rings,INR,3242.05,95.71,0.75%
2025-09-29,T1 Pmax Earrings,INR,3976.18,154.17,0.77%
2025-09-29,BOF-YT-ALL PRODUCTS,INR,462.69,133.46,1.73%
2025-09-29,T1 Pmax Bracelets,INR,527.90,216.88,0.78%
