Daily Dashboard
"October 1, 2024 - October 26, 2025"
Day,Campaign,Campaign status,Currency code,Cost,Avg. CPM,CTR
2024-10-10,DISPLAY-Remarketing,Paused,INR,508.98,50.38,1.97%
2024-10-10,TOF - Display New Customer,Paused,INR,292.78,140.83,6.64%
2024-10-10,Search_Competitors_Brand,Paused,INR,30.91,718.84,2.33%
2024-10-11,Brand-Search,Eligible,INR,6071.78,37250.15,42.33%
2024-10-11,Pmax_Rings,Paused,INR,2138.94,103.33,0.79%
2024-10-11,Pmax_Earrings,Paused,INR,1890.05,161.23,1.72%
2024-10-11,BOF-YT-ALL PRODUCTS,Removed,INR,606.45,23.25,6.24%
2024-10-11,Pmax_necklaces,Paused,INR,1872.43,94.02,1.17%
2024-10-11,DISPLAY-Remarketing,Paused,INR,508.38,65.80,2.25%
2024-10-11,TOF - Display New Customer,Paused,INR,393.33,208.33,7.20%
2024-10-11,Search_Competitors_Brand,Paused,INR,918.85,4396.41,6.70%
2024-10-12,Brand-Search,Eligible,INR,2172.93,13249.55,35.37%
2024-10-12,Pmax_Rings,Paused,INR,1996.08,86.19,0.83%
2024-10-12,Pmax_Earrings,Paused,INR,1554.40,112.78,1.54%
2024-10-12,BOF-YT-ALL PRODUCTS,Removed,INR,606.06,16.73,5.88%
2024-10-12,Pmax_necklaces,Paused,INR,2061.25,144.06,1.43%
2024-10-12,DISPLAY-Remarketing,Paused,INR,546.58,99.49,2.99%
2024-10-12,TOF - Display New Customer,Paused,INR,286.68,433.04,13.75%
2024-10-12,Search_Competitors_Brand,Paused,INR,1841.95,6039.18,5.90%
2024-10-13,Brand-Search,Eligible,INR,2727.51,14431.28,35.45%
2024-10-13,Pmax_Rings,Paused,INR,2333.06,96.81,0.96%
2024-10-13,Pmax_Earrings,Paused,INR,1690.61,127.26,1.88%
2024-10-13,BOF-YT-ALL PRODUCTS,Removed,INR,606.22,13.87,5.46%
2024-10-13,Pmax_necklaces,Paused,INR,2292.18,134.52,1.22%
2024-10-13,DISPLAY-Remarketing,Paused,INR,449.40,51.07,2.10%
2024-10-13,TOF - Display New Customer,Paused,INR,298.02,126.44,4.92%
2024-10-13,Search_Competitors_Brand,Paused,INR,991.22,3136.77,4.75%
2024-10-14,Brand-Search,Eligible,INR,1574.89,8897.68,27.68%
2024-10-14,Pmax_Rings,Paused,INR,2849.68,111.98,0.95%
2024-10-14,Pmax_Earrings,Paused,INR,2255.35,136.69,1.52%
2024-10-14,BOF-YT-ALL PRODUCTS,Removed,INR,601.51,26.19,5.73%
2024-10-14,Pmax_necklaces,Paused,INR,1718.89,114.30,1.21%
2024-10-14,DISPLAY-Remarketing,Paused,INR,564.97,46.26,1.43%
2024-10-14,TOF - Display New Customer,Paused,INR,284.39,50.60,1.65%
2024-10-15,Brand-Search,Eligible,INR,7519.24,43972.16,43.27%
2024-10-15,Pmax_Rings,Paused,INR,2251.81,103.89,0.89%
2024-10-15,Pmax_Earrings,Paused,INR,1401.29,99.02,1.45%
2024-10-15,BOF-YT-ALL PRODUCTS,Removed,INR,593.37,23.99,5.97%
2024-10-15,Pmax_necklaces,Paused,INR,2071.84,108.15,1.39%
2024-10-15,DISPLAY-Remarketing,Paused,INR,606.26,82.36,2.32%
2024-10-15,TOF - Display New Customer,Paused,INR,295.42,73.25,2.93%
2024-10-15,Search_Competitors_Brand,Paused,INR,19.75,506.41,2.56%
2024-10-16,Brand-Search,Eligible,INR,2793.04,14856.60,34.04%
2024-10-16,Pmax_Rings,Paused,INR,6339.35,132.25,0.93%
2024-10-16,Pmax_Earrings,Paused,INR,2300.74,143.32,1.50%
2024-10-16,BOF-YT-ALL PRODUCTS,Removed,INR,597.11,23.07,6.29%
2024-10-16,Pmax_necklaces,Paused,INR,1902.05,91.19,1.47%
2024-10-16,DISPLAY-Remarketing,Paused,INR,496.47,84.56,3.08%
2024-10-16,TOF - Display New Customer,Paused,INR,267.81,90.11,3.67%
2024-10-16,Search_Competitors_Brand,Paused,INR,226.39,963.36,1.70%
2024-10-17,Brand-Search,Eligible,INR,5608.15,33381.86,35.71%
2024-10-17,Pmax_Rings,Paused,INR,8719.95,153.64,0.84%
2024-10-17,Pmax_Earrings,Paused,INR,1591.90,105.10,1.31%
2024-10-17,BOF-YT-ALL PRODUCTS,Removed,INR,591.86,27.88,5.60%
2024-10-17,Pmax_necklaces,Paused,INR,1932.08,90.74,1.32%
2024-10-17,DISPLAY-Remarketing,Paused,INR,458.88,70.53,2.26%
2024-10-17,TOF - Display New Customer,Paused,INR,279.21,78.25,3.70%
2024-10-17,Search_Competitors_Brand,Paused,INR,3389.98,3509.30,4.04%
2024-10-18,Brand-Search,Eligible,INR,4220.81,21425.45,29.95%
2024-10-18,Pmax_Rings,Paused,INR,9324.69,75.73,0.61%
2024-10-18,Pmax_Earrings,Paused,INR,1375.49,103.68,1.27%
2024-10-18,BOF-YT-ALL PRODUCTS,Removed,INR,591.32,22.03,5.80%
