Date,Meta_Spend,Meta_Impressions,Meta_Clicks,Meta_CTR,Meta_CPM,Meta_Users,Google_Spend,Google_Impressions,Google_Clicks,Google_CTR,Google_CPM,Google_Users,Shopify_Sessions,Shopify_Revenue,Shopify_Orders,Shopify_Conversion_Rate,Total_Spend,Total_Users,Total_Revenue,ROAS,Good_Leads,Cost_Per_Good_Lead,Quality_Score,Efficiency_Score,Volume_Score,Overall_Score
2025-11-09,48723.8,0,0,0.02,252.23813710692303,0,4457.33,0,0,0.0775,982.8399999999999,0,0,0,0,0,53181.13,0,0,0,0,0,0,0,0,0
2025-11-10,44974.41,0,0,0.0226,212.68735928484847,0,8385.59,0,0,0.089,2283.3100000000004,0,0,0,0,0,53360,0,0,0,0,0,0,0,0,0
